0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
4,5,3,3,5,7,0,6,6,4,5,3,2,4,7,5,6,6,5,6,6,2,7,8,5,4,10,2,7,3,5,6,6,4,10,10,8,6,4,3,3,5,6,6,7,10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,8,7,14,6,7,6,5,16,4,19,13,6,6,7,15,9,7,5,6,7,8,12,9,16,4,4,17,14,9,15,8,10,3,5,13,8,15,19,16,15,27,4,7,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,5,5,2,3,3,3,2,2,2,3,4,4,9,3,6,4,6,4,3,3,3,4,3,3,3,4,3,3,4,4,4,4,1,3,2,3,3,5,7,5,6,5,6,6,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,7,4,5,5,4,4,5,10,12,12,10,10,4,5,6,6,5,5,4,5,7,5,5,11,5,6,6,6,6,7,7,6,7,7,8,8,8,7,9,3,2,3,4,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,6,4,5,4,3,8,6,8,9,8,8,4,4,5,4,6,7,5,5,4,5,6,6,6,4,5,3,2,4,4,5,6,5,6,9,6,5,6,8,5,3,5,5,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,5,9,7,4,4,5,7,7,5,7,4,4,3,4,8,9,4,3,4,3,3,5,4,6,8,3,3,13,3,3,5,4,4,4,6,3,12,7,8,6,7,7,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,5,5,5,4,1,4,2,6,12,5,2,6,4,6,4,4,3,7,10,6,7,4,8,12,4,8,9,6,8,5,9,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,2,5,5,4,3,4,3,4,4,5,3,5,5,5,2,8,6,9,9,9,11,3,3,4,3,5,7,6,5,9,5,8,9,8,5,2,7,4,7,6,8,8,2,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,7,6,8,7,9,9,7,5,8,7,9,8,11,14,17,6,8,9,9,9,12,9,13,6,8,12,13,9,11,11,8,14,13,28,9,8,11,13,12,8,12,13,12,12,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,7,6,7,10,10,8,11,8,9,10,15,13,20,18,17,15,19,14,24,17,13,18,22,21,22,25,11,11,24,22,11,14,10,10,9,16,17,17,22,21,27,28,20,14,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11,8,13,12,16,16,18,17,18,19,14,14,15,16,18,21,18,16,18,19,21,23,21,17,19,20,22,25,23,31,23,21,19,16,30,24,26,28,24,30,22,26,30,25,24,26,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,5,6,5,7,8,5,3,6,4,7,6,3,4,5,4,4,9,10,8,6,9,4,5,3,7,5,5,6,3,5,6,7,10,5,7,7,9,8,9,6,13,8,11,15,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,27,12,20,17,7,23,13,12,14,9,8,24,7,13,16,15,25,23,23,18,7,4,15,7,5,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,2,1,2,2,2,2,2,2,2,3,3,3,3,4,4,5,4,4,4,10,6,8,4,4,3,4,10,5,3,3,4,6,5,8,11,3,3,3,3,7,7,5,8,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,6,5,8,4,10,5,5,4,5,2,6,5,4,6,5,5,8,9,5,11,10,7,8,8,8,7,7,6,5,6,9,7,9,10,12,12,13,16,16,11,7,11,7,9,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4,3,5,3,6,3,4,4,6,4,5,5,7,12,8,5,6,6,6,7,3,5,19,21,36,5,11,5,4,6,8,5,4,6,8,3,9,4,5,6,3,4,8,8,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,6,4,4,8,19,8,9,14,9,7,2,8,10,12,16,8,3,6,7,20,15,12,9,28,11,3,9,10,4,9,8,12,11,7,29,19,10,14,6,4,13,14,17,7,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,6,5,5,7,4,18,3,3,11,17,4,2,7,1,1,11,7,6,10,8,9,10,7,8,2,2,4,6,3,3,7,7,4,2,6,3,8,5,8,4,4,2,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,7,3,6,6,9,7,7,31,6,8,4,6,6,3,4,4,2,4,8,3,5,9,8,5,10,5,5,4,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,4,6,9,4,4,2,3,6,13,5,10,2,5,6,4,7,6,5,6,5,7,7,9,6,4,3,7,8,4,7,5,4,4,4,12,4,8,7,6,7,9,9,7,8,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,5,17,57,28,6,7,12,21,16,16,31,25,23,7,13,30,14,10,14,11,5,7,6,21,13,5,3,6,26,9,8,17,11,34,20,11,20,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,14,7,19,14,11,6,9,19,8,9,13,12,11,16,12,12,11,15,18,15,12,12,16,18,33,6,12,8,12,15,11,11,9,9,8,8,11,15,12,13,6,21,14,10,12,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,9,10,7,16,16,20,10,9,60,11,15,13,14,14,16,11,13,11,19,13,15,15,6,14,12,13,12,14,14,10,9,5,10,8,14,13,5,11,12,11,10,5,7,12,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,7,9,11,6,11,8,4,2,11,2,7,9,6,9,5,21,7,5,8,4,11,10,12,15,7,21,6,9,3,6,4,3,3,11,2,11,11,2,7,7,3,2,8,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,7,25,77,8,3,9,2,3,5,5,3,14,10,25,15,12,5,5,7,24,12,7,12,9,10,9,7,14,10,14,8,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,3,3,4,4,6,4,4,3,4,6,3,4,6,5,7,3,3,5,2,7,5,6,3,5,7,4,5,5,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,6,4,9,9,8,1,5,8,7,5,6,9,2,4,6,6,9,5,9,16,10,19,7,5,16,9,8,7,32,5,11,10,12,9,11,8,6,6,10,10,10,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,15,4,7,13,20,7,5,9,6,7,6,6,3,11,4,2,6,5,7,6,5,12,5,4,11,54,9,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,4,3,4,5,5,7,8,9,4,4,3,4,4,2,5,6,6,7,4,5,3,32,5,6,7,7,5,4,3,4,3,4,5,5,3,3,4,3,3,3,3,4,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,5,7,5,5,6,4,6,5,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,11,7,3,15,21,5,7,9,14,7,9,21,18,37,18,15,12,14,12,21,19,7,29,18,16,15,16,41,65,19,21,9,13,20,23,24,21,23,19,19,11,6,9,30,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,9,6,9,3,9,12,9,10,11,3,18,8,7,8,28,19,18,8,12,2,6,7,5,5,11,20,13,8,6,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,26,6,16,2,4,6,4,3,3,4,10,11,6,15,12,5,4,8,13,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,13,16,7,12,5,5,4,20,8,13,16,10,10,21,11,8,6,40,17,18,9,5,12,17,18,17,43,8,14,26,14,9,12,33,30,24,34,37,67,27,11,30,12,23,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,31,12,12,15,24,9,11,34,17,11,8,8,6,7,18,7,16,15,4,6,27,3,13,18,27,20,28,14,40,55,6,15,9,3,31,5,10,15,44,4,12,8,8,13,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,21,9,10,25,36,3,21,5,10,10,9,5,12,11,10,12,9,8,6,15,7,19,7,12,15,14,13,16,8,9,8,14,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
